risorsa,dimensione,disponibile
C001,7,2025-04-27
C002,7,2025-04-27
C003,7,2025-04-27
C004,7.5,2025-04-27
C005,7.5,2025-04-27
C006,7.5,2025-04-27
C007,7,2025-04-27
C008,7.5,2025-04-27
C009,8,2025-04-27
C010,8,2025-04-27
C011,7,2025-04-27
C012,7,2025-04-27
C013,7,2025-04-27
C014,7,2025-04-27
C015,7.5,2025-04-27
C016,7,2025-04-27
C017,6.5,2025-04-27
C018,7.5,2025-04-27
C019,7.5,2025-04-27
C020,7.5,2025-04-27
C021,6.5,2025-04-27
C022,7.5,2025-04-27
C023,7,2025-04-27
C024,6.5,2025-04-27
C025,7.5,2025-04-27
C026,7.5,2025-04-27
C027,7.5,2025-04-27
C028,7.5,2025-04-27
C029,7.5,2025-04-27
C030,7.5,2025-04-27
C031,8,2025-04-27
C032,6.5,2025-04-27
C033,7,2025-04-27
C034,7.5,2025-04-27
C035,7.5,2025-04-27
C036,7,2025-04-27
C037,7.5,2025-04-27
C038,7,2025-04-27
C039,8,2025-04-27
C040,8,2025-04-27
C041,7.5,2025-04-27
C042,7,2025-04-27
C043,7,2025-04-27
C044,7,2025-04-27
C045,7,2025-04-27
C046,7,2025-04-27
C047,7.5,2025-04-27
C048,7.5,2025-04-27
C049,7.5,2025-04-27
C050,8,2025-04-27
C051,7,2025-04-27
C052,7,2025-04-27
C053,7,2025-04-27
C054,7,2025-04-27
C055,7,2025-04-27
C056,7,2025-04-27
C057,7,2025-04-27
C058,7.5,2025-04-27
C059,7.5,2025-04-27
C060,6.5,2025-04-27
C061,7.5,2025-04-27
C062,7.5,2025-04-27
C063,7,2025-04-27
C064,7.5,2025-04-27
C065,7.5,2025-04-27
C066,7,2025-04-27
C067,7,2025-04-27
C068,6.5,2025-04-27
C069,7.5,2025-04-27
C070,7.5,2025-04-27
C071,6.5,2025-04-27
C072,7.5,2025-04-27
C073,7,2025-04-27
C074,7.5,2025-04-27
C075,5,2025-04-27
C076,6.5,2025-04-27
C077,7.5,2025-04-27
C078,6.5,2025-04-27
C079,7,2025-04-27
C080,7,2025-04-27
C081,7,2025-04-27
C082,7.5,2025-04-27
C083,7.5,2025-04-27
C084,7,2025-04-27

